measurement_id,batch,gas_class,concentration,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127,feat_128
G_B01_0001,1,1,10,15596.1621,1.868245,2.371604,2.803678,7.512213,-2.739388,-3.344671,-4.847512,15326.6914,1.768526,2.269085,2.713374,6.915721,-2.488324,-3.082212,-5.056975,2789.3831,2.754759,0.43044,0.649457,1.795029,-0.426662,-0.584313,-1.438976,2581.5686,2.680623,0.399746,0.605065,1.786704,-0.400115,-0.550743,-1.728611,685.3994,1.682904,0.122736,0.223703,0.584691,-0.138196,-0.236907,-0.781959,797.7738,1.742488,0.152483,0.218904,0.841862,-0.164646,-0.31572,-0.791447,3128.8489,3.605537,0.532422,0.763062,2.118983,-0.557197,-0.809953,-2.34413,3136.8778,3.555169,0.535883,0.761388,1.499244,-0.57148,-0.944425,-2.658358,13540.6738,1.765738,2.006883,2.519022,6.26143,-2.172101,-2.694967,-3.791499,13831.7539,1.746493,2.057165,2.391239,5.695234,-2.350776,-2.888766,-8.129869,3020.9191,2.819354,0.47452,0.723993,2.16013,-0.4679,-0.638167,-1.64365,2185.9741,2.949381,0.342575,0.51509,1.340477,-0.36103,-0.493482,-1.200617,862.7479,1.779291,0.165138,0.246473,1.358106,-0.187465,-0.416382,-1.058061,1059.7562,1.896047,0.198946,0.334017,0.815048,-0.204467,-0.345119,-0.969336,3357.1124,3.860647,0.580818,0.80683,1.729739,-0.619214,-1.071137,-3.037772,3037.039,3.972203,0.527291,0.728443,1.445783,-0.545079,-0.902241,-2.654529
G_B01_0003,1,1,30,42103.582,3.454189,8.198175,10.508439,11.611003,-7.668313,-9.478675,-12.230939,37562.3008,2.840403,7.386357,9.511703,12.129657,-6.689464,-8.184333,-10.196169,5476.3898,3.929721,1.132118,1.7174179999999999,2.050157,-1.052941,-1.43627,-1.956262,5140.8302,3.880357,1.054304,1.6496,1.964727,-0.995282,-1.377502,-1.844021,1409.2183,2.316449,0.335154,0.572576,0.93273,-0.337312,-0.532147,-1.011991,1647.678,2.443898,0.405582,0.725644,1.006433,-0.403554,-0.676717,-1.008518,6145.6659,4.998625,1.426344,2.407405,2.856787,-1.37707,-1.994748,-2.445191,6197.3047,4.99781,1.473118,2.545978,3.331699,-1.420663,-2.18512,-2.625092,32366.9336,2.742087,6.419288,8.29021,9.709606,-5.792984,-7.171543,-9.797253,35597.002,2.916899,6.969954,8.951225,10.413684,-6.441517,-7.914062,-9.973361,5968.8666,4.056138,1.262938,1.935885,2.346947,-1.159097,-1.791556,-2.233596,4409.1721,4.286887,0.917809,1.390353,1.810937,-0.909467,-1.254904,-1.732933,1735.0383,2.466508,0.450574,0.841068,1.808291,-0.426742,-0.711579,-1.129027,2040.1528,2.572696,0.509803,0.93263,1.248513,-0.475471,-0.730332,-1.126488,6630.1836,5.369827,1.567405,2.790448,3.279244,-1.518135,-2.384784,-2.867291,5914.6685,5.396827,1.403973,2.476956,3.039841,-1.334558,-1.993659,-2.34837
G_B01_0004,1,1,40,42825.9883,3.451192,12.11394,16.266853,39.910056,-7.849409,-9.689894,-11.921704,38379.0664,2.851173,10.840889,14.566782,39.100492,-6.878915,-8.470092,-10.739835,5670.7144,3.994661,1.587322,2.963585,2.889819,-1.116192,-1.504534,-2.15971,5343.8337,3.962529,1.479765,2.653653,2.753598,-1.061584,-1.465905,-2.027846,1499.3987,2.415714,0.47623,0.834066,1.316245,-0.373295,-0.562486,-1.005683,1747.0367,2.543528,0.575862,1.04536,1.582893,-0.437584,-0.720969,-1.172276,6361.2179,5.11854,2.016031,3.5118,3.989634,-1.468832,-2.164832,-2.952224,6443.5758,5.138118,2.067199,3.618647,4.262233,-1.521618,-2.328864,-2.871851,33300.6055,2.7650420000000002,9.397436,13.022406,29.111833,-5.99902,-7.466897,-9.590399,36487.1211,2.937415,10.300845,14.504802,29.353683,-6.624663,-8.135443,-10.433171,6187.1446,4.127966,1.772427,3.242992,3.232927,-1.233289,-1.676956,-2.11083,4570.3443,4.382205,1.298156,2.334433,2.427754,-0.96475,-1.315083,-1.575122,1837.0551,2.560248,0.626115,1.226975,1.828968,-0.463871,-0.785627,-1.249903,2144.8436,2.660842,0.714324,1.322181,1.883925,-0.513716,-0.777995,-1.134804,6933.2844,5.50727,2.215701,4.04255,4.67511,-1.644751,-2.607199,-3.058086,6147.4744,5.501071,1.981933,3.569823,4.049197,-1.432205,-2.146158,-2.488957
G_B01_0005,1,1,50,58151.1757,4.194839,11.455096,15.715298,17.654915,-11.083364,-13.580692,-16.407848,51975.5899,3.480866,10.409176,14.379885,15.387529,-9.54357,-11.707853,-14.370753,7483.3656,5.074172,1.5761,2.55801,3.389052,-1.515863,-2.059119,-2.494956,6995.2396,4.995555,1.474554,2.500523,2.981684,-1.436586,-2.006992,-2.42473,1976.1011,2.893531,0.480052,0.871868,1.301642,-0.487181,-0.753798,-1.628245,2286.8792,3.058936,0.581186,1.145093,1.508896,-0.582666,-0.949063,-1.270385,8474.3696,6.673105,2.025916,3.650673,4.291259,-1.985612,-2.99295,-3.44664,8547.2146,6.68909,2.078846,3.889228,4.392452,-2.073675,-3.30519,-3.792976,45212.6523,3.38421,9.083462,12.5758,13.600584,-8.326705,-10.152834,-12.30118,49670.9785,3.602189,9.905257,13.542131,14.934498,-9.292178,-12.009161,-13.677505,8128.6561,5.244599,1.762437,2.896088,3.339938,-1.674587,-2.412309,-2.787965,6086.2545,5.642596,1.293397,2.071232,2.683706,-1.316635,-1.798607,-3.026084,2388.1891,3.067174,0.632552,1.322201,1.666461,-0.611909,-1.018826,-1.770461,2784.4952,3.196657,0.71681,1.419936,1.845668,-0.663462,-1.022919,-1.602759,9179.2338,7.214645,2.23609,4.367815,4.946454,-2.249702,-3.594763,-4.18192,8158.6449,7.174334,1.993808,3.829303,4.402448,-1.930107,-2.931265,-4.088756
G_B01_0007,1,1,100,94981.5859,5.872932,22.318174,32.673187,34.308656,-18.19878,-22.253267,-27.061036,82237.3906,4.791826,19.886142,29.674004,31.494643,-15.338134,-18.842302,-25.042549,11763.6746,7.182966,2.822376,4.384479,4.86946,-2.668013,-3.805841,-4.346283,11135.1424,7.077395,2.648131,4.426393,4.970171,-2.515021,-3.583348,-4.122559,3137.4044,3.976838,0.846828,1.556548,2.016268,-0.840238,-1.390487,-1.778833,3648.1385,4.225473,1.020252,2.059313,2.660308,-0.981516,-1.642684,-2.286953,13491.3383,9.429182,3.668589,6.419015,7.317818,-3.542601,-5.622684,-6.59872,13863.3439,9.558369,3.805783,6.848187,7.800004,-3.689825,-5.968822,-6.710757,73148.6308,4.703971,17.238466,25.719414,27.48377,-13.693478,-16.757599,-19.857783,80701.8926,4.987113,19.143022,27.946251,30.138077,-15.082557,-18.354497,-22.405683,13001.422,7.465825,3.17918,5.091477,5.720037,-2.955288,-4.191203,-4.860338,9607.6811,7.993631,2.349944,3.456891,3.916064,-2.308353,-3.278151,-3.778427,3784.3863,4.208613,1.076874,2.439297,3.37404,-1.020918,-1.766002,-2.2329310000000002,4224.2833,4.260557,1.189883,2.597907,3.345007,-1.11734,-1.856324,-2.591929,15106.7735,10.452707,4.130756,7.789363,8.900816,-4.020786,-6.463239,-7.132363,12925.3449,10.10324,3.604875,6.913722,7.949838,-3.407223,-5.363093,-5.870612
G_B01_0012,1,1,225,153219.6758,8.550419,35.069405,59.010483,63.362733,-28.818326,-34.915356,-49.023468,129875.9707,7.348401,30.352398,50.691692,53.953862,-23.248334,-27.978766,-36.340065,21391.2269,12.024709,4.436771,7.608998,8.821513,-5.563196,-8.229359,-10.39667,20160.0671,11.381496,4.122829,7.223935,8.371081,-5.125953,-7.451203,-8.100121,5442.1279,6.092408,1.271527,2.734293,3.506869,-1.630481,-2.784687,-3.303935,6269.9389,6.315086,1.480268,3.266212,4.262447,-1.833066,-3.077121,-3.617152,24375.118,15.930078,5.818641,10.642948,13.054462,-7.266239,-12.052257000000001,-13.126337,25272.3561,15.620568,5.998882,10.742634,13.064555,-7.509977,-12.28131,-13.230599,118212.6582,7.453614,26.465943,42.972633,46.189509,-21.248887,-25.658393,-32.32129,130924.25,7.142357,29.271861,48.015139,51.090691,-23.97146,-28.797709,-39.449753,23969.6987,12.292362,4.984849,8.103104,9.232178,-6.110143,-8.827882,-9.522289,17428.2935,13.468111,3.743512,6.243034,7.350036,-4.694865,-6.912305,-7.360558,6476.5843,6.222253,1.522014,3.893208,5.2659840000000004,-1.895673,-3.275955,-3.842342,7041.6277,6.40395,1.689301,4.387166,6.230445,-2.065539,-3.686758,-4.274101,28422.4158,17.537108,6.888312,11.380698,13.378119,-8.554703,-14.498592,-15.454397,23573.8656,17.228245,5.816309,10.429412,12.391563,-7.11996,-12.308902,-13.499346
G_B01_0014,1,1,225,171024.1953,9.242443,38.866519,68.239326,72.181715,-31.302355,-37.051979,-58.117251,144485.3789,7.994448,33.197638,57.437128,60.748564,-25.48384,-30.34749,-44.632526,25110.9109,13.920139,5.106829,8.368823,9.813181,-6.768847,-10.081613,-10.929991,23367.4825,12.977291,4.732249,7.854103,9.271114,-6.246397,-9.284916,-10.544417,6276.4426,6.862168,1.4488510000000001,3.014779,4.188858,-1.910025,-3.276135,-3.657601,7143.7278,7.030834,1.678766,3.569929,4.969555,-2.183384,-3.758016,-4.165706,28550.2717,18.456791,6.713951,11.592915,14.445415,-8.757704,-14.558083,-15.490154,29306.3668,17.884298,6.904641,11.641147,14.289184,-9.103092,-15.183221,-16.144385,132260.4922,8.201,28.917348,48.986963,52.392461,-23.357915,-27.785608,-37.829692,146206.5039,7.682061,32.455271,56.579209,59.401584,-26.073638,-30.984886,-44.731985,27878.3755,14.044008,5.717367,8.800142,11.775076,-7.468056,-11.027587,-12.142851,20428.671,15.585876,4.308978,6.934402,8.361285,-5.62904,-8.354255,-9.067785,7375.6701,6.92265,1.727188,4.166078,5.647272,-2.258324,-4.073167,-4.571358,8057.3723,7.16084,1.919299,4.715003,6.244735,-2.41371,-4.325876,-5.009937,33177.2428,20.231057,8.041007,12.011971,14.140952,-10.533996,-18.356941,-20.098589,27670.4297,19.909245,6.778094,11.070776,13.163028,-8.682575,-15.217791,-16.193992
G_B01_0015,1,1,10,18492.2539,2.034586,2.791746,3.278644,4.758722,-3.070496,-3.77582,-5.531982,18257.7539,1.951606,2.779506,3.290231,4.433386,-2.86568,-3.550858,-5.289498,3029.5006,2.552993,0.485697,0.676074,1.09557,-0.486347,-0.645037,-1.107733,2850.5541,2.498428,0.452293,0.618209,1.022194,-0.463302,-0.633402,-1.050237,807.2285,1.719344,0.154205,0.253678,0.621218,-0.166325,-0.344868,-0.778003,943.4888,1.778137,0.185614,0.292469,1.010092,-0.197719,-0.306287,-0.591144,3463.6507,3.173847,0.628819,0.901782,1.29811,-0.652325,-0.92663,-1.368905,3511.6522,3.121398,0.648676,0.910587,1.272153,-0.669748,-0.985796,-1.391829,16023.8907,1.925166,2.476839,2.933774,4.004986,-2.521013,-3.072105,-4.467812,16202.1426,1.854945,2.462365,2.906552,4.147485,-2.671562,-3.306025,-4.740265,3341.0796,2.606118,0.543212,0.787075,1.132486,-0.54143,-0.731016,-1.206823,2430.184,2.748054,0.400366,0.565025,0.876432,-0.418781,-0.578137,-1.004291,1024.2987,1.808981,0.210851,0.331486,0.765458,-0.214489,-0.339479,-0.676255,1202.8857,1.884815,0.244631,0.384432,0.737103,-0.241932,-0.377585,-0.825974,3772.1027,3.315458,0.688821,0.986551,1.270117,-0.715143,-1.035493,-1.412156,3355.9452,3.398649,0.620789,0.904815,1.274396,-0.64061,-0.942258,-1.352104
G_B01_0020,1,1,75,80026.4473,5.490876,19.383897,28.271656,29.738304,-15.141047,-18.503294,-22.475106,71804.3028,4.85616,17.974815,26.68063,28.338902,-12.845406,-15.645973,-18.536253,11551.6048,5.950049,2.87256,4.619243,5.077016,-2.456891,-3.379675,-4.050228,10911.8367,5.749249,2.702551,4.406441,4.891306,-2.322072,-3.601624,-3.776813,3054.9296,3.540956,0.896426,1.699578,2.333326,-0.774976,-1.249699,-1.611663,3511.8995,3.676327,1.045978,2.027256,2.548077,-0.897595,-1.463438,-1.761031,13276.9672,7.874785,3.803978,6.789164,7.607485,-3.281133,-5.127037,-5.903237,13623.6184,7.743731,3.904965,6.88984,8.035516,-3.398483,-5.233371,-5.930262,64302.4648,4.864582,15.985946,23.677453,25.196847000000002,-11.422715,-13.916889,-28.502483,68981.711,4.643918,16.770622,24.276592,25.476985,-12.736007,-15.529235,-19.1066,12801.9881,6.068612,3.237124,5.143853,5.625435,-2.730102,-3.740761,-4.252681,9423.4055,6.688145,2.397339,3.781439,4.233947,-2.121613,-2.922919,-3.457952,3654.9092,3.672767,1.118675,2.375611,2.90565,-0.932539,-1.548934,-1.939033,4113.7443,3.815339,1.269898,2.748745,3.423548,-1.022805,-1.860597,-2.097449,14918.5645,8.457535,4.236156,7.913979,9.069153,-3.743538,-5.985368,-6.54313,12764.2335,8.520374,3.726277,7.246145,8.3627,-3.19394,-5.071365,-5.566655
G_B01_0021,1,1,100,96025.6778,6.449523,23.062255,33.883861,35.606689,-18.175386,-22.250931,-27.659642,84133.5273,5.429291,20.999118,31.634178,33.52681,-15.201618,-18.435532,-23.162194,13941.1028,6.977792,3.37864,5.333176,6.023977,-3.161991,-4.476189,-5.203684,13249.1768,6.825727,3.158761,5.148224,5.713353,-2.959188,-4.169849,-4.64552,3649.1459,4.04814,1.026788,2.031165,2.57517,-0.974568,-1.633332,-2.037512,4219.5653,4.230482,1.198581,2.426816,3.044278,-1.119505,-1.832192,-3.236101,16008.1553,9.313913,4.476602,7.989644,10.760932,-4.198217,-6.761087,-7.569074,16557.2825,9.247693,4.581423,8.161527,9.302347,-4.353662,-6.966192,-7.701553,75695.5957,5.449403,18.592135,27.857131,29.539056,-13.640386,-16.557265,-19.939964,82633.1328,5.406647,19.90497,29.032482,30.705821,-15.205722,-18.382856,-29.444366,15582.7742,7.226141,3.797906,5.934438,6.482888,-3.496043,-4.907031,-5.464183,11363.8026,7.85483,2.821678,4.350601,4.946972,-2.711936,-4.081875,-4.602794,4375.6342,4.22011,1.272368,2.879565,3.711761,-1.158499,-2.127456,-2.470562,4851.8072,4.33704,1.435418,3.255116,4.103387,-1.267926,-2.173396,-2.58202,18240.4509,10.215093,5.009657,9.334905,10.622926,-4.792794,-7.592046,-8.102083,15395.3915,10.098033,4.387972,8.519378,9.757612,-4.047867,-6.463056,-7.110785
G_B01_0022,1,1,125,109113.2774,7.17743,26.516047,39.590805,41.628144,-20.616577,-25.062168,-31.175558,94882.2227,6.009934,24.016966,36.967916,38.661953,-17.141384,-20.788334,-27.641859,16095.2173,7.786557,3.892331,6.146669,6.905066,-3.788785,-5.467908,-6.154285,15179.0303,7.56495,3.653264,6.01507,6.860805,-3.524754,-5.054368,-5.641339,4179.4489,4.45689,1.162178,2.341549,2.945293,-1.149238,-1.948688,-2.359169,4801.7006,4.66332,1.368816,2.851054,5.508668,-1.324155,-2.229606,-2.746927,18488.3413,10.393482,5.179837,9.243546,10.484356,-5.012832,-8.166869,-8.8595,19033.3258,10.325855,5.328546,9.516113,10.817896,-5.193723,-8.507354,-9.768846,85845.1132,6.051984,21.268539,32.368429,34.045013,-15.497506,-18.758446,-22.379269,93810.7597,6.003085,22.898993,33.915293,35.562646,-17.257227,-20.846765,-26.85616,17921.7927,8.057804,4.397694,6.857089,7.53793,-4.175733,-5.961132,-6.559809,13108.0263,8.746295,3.253893,5.00979,5.555916,-3.233381,-4.665127,-5.316958,4961.8947,4.627983,1.44437,3.386697,4.373615,-1.356096,-2.438509,-2.887909,5498.7719,4.731514,1.632085,3.780043,4.943422,-1.484047,-2.647239,-3.573185,21064.5902,11.43189,5.860674,10.847147,12.550871,-5.755075,-9.364248,-10.595268,17782.73,11.261076,5.078178,9.895383,11.489193,-4.840632,-7.789058,-8.418328
G_B01_0023,1,1,150,121232.4023,7.78883,28.828684,42.078983,43.842409,-22.825289,-27.619033,-37.957977,105177.0195,6.604438,25.901136,39.034382,40.937206,-18.95415,-23.061635,-30.207953,18215.9671,8.818275,4.22382,6.7128,7.774791,-4.355642,-6.216546,-6.869626,17014.3881,8.415638,3.958069,6.609052,7.539224,-4.051256,-5.818837,-6.205359,4671.0019,4.905692,1.240875,2.587844,3.484174,-1.293088,-2.099691,-2.526469,5316.4794,5.072221,1.454155,3.146506,4.110407,-1.478878,-2.433403,-4.608452,20878.3064,11.788732,5.591494,10.029507,11.860251,-5.741835,-9.089568,-9.64063,21346.9289,11.54469,5.773953,10.222024,12.157676,-5.974905,-9.593358,-10.191691,95370.041,6.684545,22.929692,34.172804,35.7588,-17.16408,-20.686276,-27.102322,104044.3613,6.459386,24.719599,35.482907,37.452043,-19.119122,-23.056061,-30.055163,20135.1343,8.9857,4.776752,7.437929,8.213027,-4.821459,-6.906046,-7.439205,14819.2234,9.908276,3.533303,5.530036,6.390859,-3.693985,-5.280575,-5.78483,5478.8023,5.013334,1.511669,3.740148,4.945554,-1.528246,-2.595231,-2.938448,6096.5156,5.182083,1.680097,4.170422,5.551501,-1.659023,-3.153953,-3.11875,23731.6905,12.831167,6.449936,11.454819,13.256121,-6.628384,-11.259306,-11.907979,20065.906,12.729891,5.542717,10.509162,12.404451,-5.522046,-8.967695,-9.596771
G_B01_0025,1,1,200,142473.4082,8.592894,33.955859,51.869412,55.067308,-26.924829,-32.74844,-44.557949,121571.7734,7.282979,29.901642,46.126895,48.150091,-21.808203,-26.171252,-36.659163,22224.7097,10.879684,5.228643,7.913317,9.066008,-5.607396,-8.248566,-9.004396,20850.3855,10.313197,4.853025,7.581788,8.720396,-5.150638,-7.903722,-8.252624,5568.2036,5.672627,1.461565,3.012184,4.09988,-1.616329,-2.815404,-3.56225,6365.3183,5.867834,1.693004,3.575248,4.67549,-1.818416,-3.112657,-3.529578,25302.1457,14.425485,6.851804,11.523664,13.869267,-7.33152,-12.243815,-19.04409,26070.32,14.150572,7.050865,11.591854,13.73878,-7.596791,-12.565206,-13.281443,110899.9062,7.483295,26.780681,40.095984,41.819583,-19.871416,-23.900993,-31.166499,122231.9667,7.135353,29.10241,42.350448,44.85689,-22.441569,-27.030333,-37.000199,24805.5388,11.092061,5.879242,8.529523,9.533619,-6.14567,-8.851158,-9.581124,18010.7536,12.174777,4.372076,6.55094,7.599177,-4.707603,-7.107625,-7.653497,6552.0693,5.78846,1.745629,4.295995,5.872577,-1.870909,-3.351842,-3.796913,7167.6718,5.941485,1.944185,4.851272,6.39444,-2.043905,-3.704113,-4.264675,29272.3987,15.832177,7.899377,12.871264,14.921751,-8.585803,-14.58534,-15.475817,24378.5829,15.604127,6.693459,11.895357,14.029031,-7.146197,-12.214348,-12.933877
G_B01_0027,1,1,250,161261.5644,9.45496,37.236627,60.857386,64.016158,-29.745605,-35.645967,-49.280954,136542.7793,7.966084,32.403344,52.827756,55.557713,-24.110659,-28.90447,-45.08085,26006.938,12.499785,5.745582,8.910546,10.383995,-7.003919,-10.444311,-11.464862,24255.1775,11.754266,5.305215,8.512745,9.903413,-6.419927,-9.502781,-10.222722,6384.0915,6.349966,1.614081,3.306066,4.397336,-1.977927,-3.425005,-5.569713,7280.3675,6.561414,1.868022,3.912582,5.085712,-2.222574,-3.844213,-4.843453,29508.7524,16.543644,7.615624,12.643734,15.37389,-9.078288,-15.135285,-24.37742,30391.1269,16.204472,7.820389,12.697411,15.422187,-9.413112,-15.641705,-16.678525,124763.8671,8.174186,28.521273,44.74714,46.814424,-22.016741,-26.516132,-34.400207,138201.1387,7.803816,31.389182,49.342118,52.721231,-24.743885,-29.69859,-37.140694,28957.4546,12.70058,6.433465,9.549064,10.907681,-7.685461,-11.315612,-11.962239,21040.9808,13.968281,4.804775,7.389857,8.722142,-5.810819,-8.605341,-9.097411,7480.4731,6.441022,1.917556,4.650463,6.118496,-2.287835,-4.148854,-4.621233,8142.3167,6.605169,2.119872,5.230389,6.970123,-2.47151,-4.508557,-5.674356,34328.6145,18.261312,8.993887,13.683677,15.908491,-10.794094,-18.646377,-19.931335,28491.7481,17.924156,7.58757,12.645578,15.161761,-8.89861,-15.554468,-16.957887
G_B01_0028,1,1,275,170865.1113,10.083784,39.174547,63.780167,66.55062,-31.145867,-37.277468,-55.428883,143351.4258,8.233921,34.234023,56.364045,59.337818,-25.151275,-30.3757,-43.102668,27667.7886,13.591994,6.143867,9.098913,10.42296,-7.547357,-11.32527,-12.100075,25790.7497,12.857729,5.672412,8.840025,10.176323,-6.919681,-10.289543,-11.130832,6754.7877,6.735987,1.726259,3.367354,4.362134,-2.095726,-3.800585,-4.306551,7699.1678,6.983893,1.99514,4.068391,5.178016,-2.3778,-4.169248,-4.590007,31385.8487,18.009221,8.173717,12.847321,15.632513,-9.752992,-16.488388,-18.189612,32293.9608,17.790188,8.385937,13.001096,15.782815,-10.10199,-16.95944,-17.977591,131134.9042,8.405874,30.001017,47.388711,49.783596,-23.094328,-27.56002,-40.722204,146175.8945,8.282596,33.143427,51.652456,54.96505,-25.88552,-30.499451,-47.844895,30856.0008,13.974996,6.886684,9.89526,11.215259,-8.280362,-12.245817,-13.234151,22357.9832,15.090259,5.134448,7.490348,8.799273,-6.234285,-9.989892,-10.022566,7920.7076,6.876171,2.045189,4.823804,6.443656,-2.460474,-4.519422,-5.297416,8579.0622,6.955661,2.262678,5.350634,6.992505,-2.630925,-4.885482,-5.453736,36631.4547,20.093543,9.655993,14.031978,16.361097,-11.694109,-20.226924,-21.86796,30337.9099,19.457748,8.180779,12.941562,15.310897,-9.633104,-16.842846,-18.167502
G_B01_0030,1,1,20,32189.4804,2.921596,6.219521,9.00907,8.688272,-5.440235,-6.658714,-8.571361,29119.7402,2.440579,5.747387,8.213873,8.720717,-4.909431,-6.003925,-7.81771,4311.104,2.943378,0.868397,1.270101,1.662021,-0.798689,-1.090109,-1.510376,4053.0974,2.947731,0.802629,1.235362,1.642118,-0.757681,-1.04346,-1.395392,1183.0722,2.02297,0.279308,0.456566,0.959875,-0.272373,-0.418237,-0.99696,1364.0332,2.113876,0.327052,0.561298,1.170093,-0.322858,-0.528759,-0.944327,4906.016,3.785764,1.117483,1.754775,2.174934,-1.050604,-1.510787,-2.016274,4951.6296,3.803418,1.108928,1.816545,2.276809,-1.091533,-1.617251,-2.100931,24949.1367,2.340822,4.968271,7.255378,7.568169,-4.248646,-5.199781,-6.76073,27505.0605,2.500201,5.405597,7.836419,7.717446,-4.671325,-5.785609,-7.485387,4716.8388,3.052729,0.967751,1.425832,1.934183,-0.882356,-1.203277,-1.618927,3483.0151,3.232768,0.712464,1.054835,1.883453,-0.690224,-0.934752,-1.272185,1452.7727,2.136986,0.36658,0.655575,1.600682,-0.343772,-0.577049,-1.022021,1711.5544,2.218535,0.42345,0.780408,1.392748,-0.381969,-0.594722,-0.938648,5301.9458,4.074448,1.189092,1.995841,3.45317,-1.160864,-1.803218,-2.341293,4790.2446,4.103164,1.089596,1.779788,2.374611,-1.033677,-1.509199,-2.112922
